Exclude,key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,pubmed_id,pmc_id
,rayyan-671138556,The weakest link: sensitivity to climate extremes across life stages of marine invertebrates,2019,,,Oikos,00301299 (ISSN),128,5,621-629,"Pandori, L.L.M. and Sorte, C.J.B.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059062858&doi=10.1111%2foik.05886&partnerID=40&md5=c0fd77226db969488e13beeca212b19a,English,Blackwell Publishing Ltd,"Dept of Ecology and Evolutionary Biology, Univ. of California, 321 Steinhaus Hall, Irvine, CA  92697-2525, United States","Predicting the effects of climate change on Earth's biota becomes even more challenging when acknowledging that most species have life cycles consisting of multiple stages, each of which may respond differently to extreme environmental conditions. There is currently no clear consensus regarding which stages are most susceptible to increasing environmental stress, or ‘climate extremes’. We used a meta-analytic approach to quantify variation in responses to environmental stress across multiple life stages of marine invertebrates. We identified 287 experiments in 29 papers which examined the lethal thresholds of multiple life stages (embryo, larva, juvenile and adult) of both holoplanktonic and meroplanktonic marine invertebrates subjected to the same experimental conditions of warming, acidification and hypoxia stress. Most studies considered short acute exposure to stressors. We calculated effect sizes (log response ratio) for each life stage (unpaired analysis) and the difference in effect sizes between stages of each species (paired analysis) included in each experiment. In the unpaired analysis, all significant responses were negative, indicating that warming, acidification and hypoxia tended to increase mortality. Furthermore, embryos, larvae and juveniles were more negatively affected by warming than adults. The paired analysis revealed that, when subjected to the same experimental conditions, younger life stages were more negatively affected by warming than older life stages, specifically among pairings of adults versus juveniles and larvae versus embryos. Although responses to warming are well documented, few studies of the effects of acidification and hypoxia met the criteria for inclusion in our analyses. Our results suggest that while most life stages will be negatively affected by climate change, younger stages of marine invertebrates are more sensitive to extreme heating events. © 2018 The Authors","Cited By :21     Export Date: 17 May 2021     CODEN: OIKSA     Correspondence Address: Pandori, L.L.M.; Dept of Ecology and Evolutionary Biology, 321 Steinhaus Hall, United States; email: llmpandori@gmail.com RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} | RAYYAN-LABELS: multitrait",,
,rayyan-671138557,The effect of insularity on avian growth rates and implications for insular body size evolution,2019,,,Proceedings of the Royal Society B: Biological Sciences,09628452 (ISSN),286,1894,,"Sandvig, E.M. and Coulson, T. and Clegg, S.M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061345094&doi=10.1098%2frspb.2018.1967&partnerID=40&md5=85736258433967cb3a8ffef59380d6db,English,Royal Society Publishing,"[""Department of Zoology, United Kingdom"", ""Edward Grey Institute of Field Ornithology, Department of Zoology, University of Oxford, Oxford, United Kingdom""]","Island populations often differ in consistent ways from their mainland counterparts with respect to their ecology, behaviour, morphology, demography and life-history characteristics; a set of changes referred to as the 'island syndrome'. To understand the ecological and evolutionary drivers of the island syndrome requires characterization of suites of interacting traits. While patterns in some types of traits, e.g. body size, are well characterized across a range of taxa, key gaps remain. Growth rate is one such trait, being an important determinant of both increases and decreases in body size, and can vary with changes in predation pressure and food limitation; two factors that are known to differ between mainland and island environments. Using a phylogenetic meta-analytic approach, we characterize differences in growth rates among mainland and island altricial bird populations, controlling for environmental factors. We found a trend towards slower growth on islands in small-bodied (less than 1 kg) bird species. This is consistent with the idea that the pattern of body size increases in small-bodied island colonists is associated with the evolution of slower growth combined with shifts in age and size at maturity in relaxed predation regimes. © 2019 The Author(s) Published by the Royal Society. All rights reserved.","Cited By :3     Export Date: 17 May 2021     CODEN: PRLBA     Correspondence Address: Sandvig, E.M.; Department of ZoologyUnited States; email: erik.sandvig@zoo.ox.ac.uk RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""}",,
,rayyan-671138558,Handling stress and sample storage are associated with weaker complement-mediated bactericidal ability in birds but not bats,2019,,,Physiological and Biochemical Zoology,15222152 (ISSN),92,1,37-48,"Becker, D.J. and Czirják, G.Á. and Rynda-Apple, A. and Plowright, R.K.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057265096&doi=10.1086%2f701069&partnerID=40&md5=4c2173dfff54d9f716b465c74eccfd52,English,University of Chicago Press,"[""Department of Microbiology and Immunology, Montana State University, Bozeman, MT  59717, United States"", ""Center for the Ecology of Infectious Diseases, University of Georgia, Athens, GA  30602, United States"", ""Department of Wildlife Diseases, Leibniz Institute for Zoo and Wildlife Research, Berlin, Germany""]","Variation in immune defense influences infectious disease dynamics within and among species. Understanding how variation in immunity drives pathogen transmission among species is especially important for animals that are reservoir hosts for zoonotic pathogens. Bats, in particular, have a propensity to host serious viral zoonoses without developing clinical disease themselves. The immunological adaptations that allow bats to host viruses without disease may be related to their adaptations for flight (e.g., in metabolism and mediation of oxidative stress). A number of analyses report greater richness of zoonotic pathogens in bats than in other taxa, such as birds (i.e., mostly volant vertebrates) and rodents (i.e., nonvolant small mammals), but immunological comparisonsbetween bats and these other taxa are rare. To examine interspecific differences in bacterial killing ability (BKA), a functional measure of overall constitutive innate immunity, we use a phylogenetic meta-analysis to compare how BKA responds to the acute stress of capture and to storage time of frozen samples across the orders Aves and Chiroptera. After adjusting for host phylogeny, sample size, and total microbe colony-forming units, we find preliminary evidence that the constitutive innate immune defense of bats may be more resilient to handling stress and storage time than that of birds. This pattern was also similar when we analyzed the proportion of nonnegative and positive effect sizes per species, using phylogenetic comparative methods. We discuss potential physiological and evolutionary mechanisms by which complement proteins may differ between species orders and suggest future avenues for comparative field studies of immunity between sym-patric bats, birds, and rodents in particular. © 2018 by The University of Chicago. All rights reserved.","Cited By :9     Export Date: 17 May 2021     CODEN: PBZOF     Correspondence Address: Becker, D.J.; Department of Microbiology and Immunology, United States; email: daniel.becker3@montana.edu RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""}",,
,rayyan-671138559,Interspecific scaling of blood flow rates and arterial sizes in mammals,2019,,,Journal of Experimental Biology,00220949 (ISSN),222,7,,"Seymour, R.S. and Hu, Q. and Snelling, E.P. and White, C.R.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064239161&doi=10.1242%2fjeb.199554&partnerID=40&md5=91b6a94b381e803735e8a50d55ad1d84,English,Company of Biologists Ltd,"[""School of Biological Sciences, Faculty of Sciences, University of Adelaide, Adelaide, SA  5005, Australia"", ""Department of Anatomy and Physiology, Faculty of Veterinary Science, University of Pretoria, Onderstepoort, Gauteng 0110, South Africa"", ""Brain Function Research Group, School of Physiology, Faculty of Health Sciences, University of the Witwatersrand, Johannesburg, Gauteng, 2193, South Africa"", ""Centre for Geometric Biology, School of Biological Sciences, Faculty of Science, Monash University, Clayton, VIC  3800, Australia""]","This meta-study investigated the relationships between blood flow rate (Q_ ; cm3 s−1), wall shear stress (τw; dyn cm−2) and lumen radius (ri; cm) in 20 named systemic arteries of nine species of mammals, ranging in mass from 23 g mice to 652 kg cows, at rest. In the dataset, derived from 50 studies, lumen radius varied between 3.7 µm in a cremaster artery of a rat and 11.2 mm in the aorta of a human. The 92 logged data points of Q_ and ri are described by a single second-order polynomial curve with the equation: logQ_ ¼ 0:20 log ri 2 þ 1:91 log ri þ 1:82. The slope of the curve increased from approximately 2 in the largest arteries to approximately 3 in the smallest ones. Thus, da Vinci’s rule (Q_ / ri 2 ) applies to the main arteries and Murray’s law (Q_ / ri 3 ) applies to the microcirculation. A subset of the data, comprising only cephalic arteries in which Q_ is fairly constant, yielded the allometric power equation: Q_ ¼ 155ri 2:49. These empirical equations allow calculation of resting perfusion rates from arterial lumen size alone, without reliance on theoretical models or assumptions on the scaling of wall shear stress in relation to body mass. As expected, Q_ of individual named arteries is strongly affected by body mass; however, Q_ of the common carotid artery from six species (mouse to horse) is also sensitive to differences in whole-body basal metabolic rate, independent of the effect of body mass. © 2019. Published by The Company of Biologists Ltd.","Cited By :8     Export Date: 17 May 2021     CODEN: JEBIA     Correspondence Address: Seymour, R.S.; School of Biological Sciences, Australia; email: roger.seymour@adelaide.edu.au RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""}",,
1,rayyan-671138560,On the relationship between body condition and parasite infection in wildlife: a review and meta-analysis,2018,,,Ecology Letters,1461023X (ISSN),21,12,1869-1884,"Sánchez, C.A. and Becker, D.J. and Teitelbaum, C.S. and Barriga, P. and Brown, L.M. and Majewska, A.A. and Hall, R.J. and Altizer, S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055680985&doi=10.1111%2fele.13160&partnerID=40&md5=c414263b015086d0e49408f267a4018d,English,Blackwell Publishing Ltd,"[""Odum School of Ecology, University of Georgia, Athens, GA, United States"", ""Center for the Ecology of Infectious Disease, University of Georgia, Athens, GA, United States"", ""Department of Microbiology and Immunology, Montana State University, Bozeman, MT, United States"", ""Department of Biology, Tufts University, Medford, MA, United States"", ""Department of Infectious Diseases, College of Veterinary Medicine, University of Georgia, Athens, GA, United States""]","Body condition metrics are widely used to infer animal health and to assess costs of parasite infection. Since parasites harm their hosts, ecologists might expect negative relationships between infection and condition in wildlife, but this assumption is challenged by studies showing positive or null condition–infection relationships. Here, we outline common condition metrics used by ecologists in studies of parasitism, and consider mechanisms that cause negative, positive, and null condition–infection relationships in wildlife systems. We then perform a meta-analysis of 553 condition–infection relationships from 187 peer-reviewed studies of animal hosts, analysing observational and experimental records separately, and noting whether authors measured binary infection status or intensity. Our analysis finds substantial heterogeneity in the strength and direction of condition–infection relationships, a small, negative average effect size that is stronger in experimental studies, and evidence for publication bias towards negative relationships. The strongest predictors of variation in study outcomes are host thermoregulation and the methods used to evaluate body condition. We recommend that studies aiming to assess parasite impacts on body condition should consider host–parasite biology, choose condition measures that can change during the course of infection, and employ longitudinal surveys or manipulate infection status when feasible. © 2018 John Wiley & Sons Ltd/CNRS","Cited By :34     Export Date: 17 May 2021     CODEN: ECLEF     Correspondence Address: Becker, D.J.; Odum School of Ecology, United States; email: daniel.becker3@montana.edu RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} RAYYAN-INCLUSION: {""losialagisz""=>""Excluded"", ""daniel.wa.noble""=>""Excluded""} | RAYYAN-LABELS: body condition | RAYYAN-EXCLUSION-REASONS: no physiology",,
,rayyan-671138561,Sexual dimorphism in immunity across animals: a meta-analysis,2018,,,Ecology Letters,1461023X (ISSN),21,12,1885-1894,"Kelly, C.D. and Stoehr, A.M. and Nunn, C. and Smyth, K.N. and Prokop, Z.M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054536199&doi=10.1111%2fele.13164&partnerID=40&md5=347090dd0a48cae414c4d9cabb0488b4,English,Blackwell Publishing Ltd,"[""Département des sciences biologiques, Université du Québec à Montréal, C.P. 8888, succursale Centre-Ville, Montreal, QC  H3C 3P8, Canada"", ""Department of Biological Sciences, Butler University, 4600 Sunset Avenue, Indianapolis, IN, United States"", ""Department of Evolutionary Anthropology, Duke University, Science Drive, Durham, NC  27708, United States"", ""Duke Global Health Institute, Duke University, Trent Drive, Durham, NC  27710, United States"", ""University Program in Ecology, Nicholas School of the Environment, Duke University, Durham, NC  27708, United States"", ""Institute of Environmental Sciences, Jagiellonian University, Gronostajowa 7, Krakow, 30–387, Poland""]","In animals, sex differences in immunity are proposed to shape variation in infection prevalence and intensity among individuals in a population, with females typically expected to exhibit superior immunity due to life-history trade-offs. We performed a systematic meta-analysis to investigate the magnitude and direction of sex differences in immunity and to identify factors that shape sex-biased immunocompetence. In addition to considering taxonomic and methodological effects as moderators, we assessed age-related effects, which are predicted to occur if sex differences in immunity are due to sex-specific resource allocation trade-offs with reproduction. In a meta-analysis of 584 effects from 124 studies, we found that females exhibit a significantly stronger immune response than do males, but the effect size is relatively small, and became non-significant after controlling for phylogeny. Female-biased immunity was more pronounced in adult than immature animals. More recently published studies did not report significantly smaller effect sizes. Among taxonomic and methodological subsets of the data, some of the largest effect sizes were in insects, further supporting previous suggestions that testosterone is not the only potential driver of sex differences in immunity. Our findings challenge the notion of pervasive biases towards female-biased immunity and the role of testosterone in driving these differences. © 2018 John Wiley & Sons Ltd/CNRS","Cited By :27     Export Date: 17 May 2021     CODEN: ECLEF     Correspondence Address: Kelly, C.D.; Département des sciences biologiques, Canada; email: kelly.clint@uqam.ca RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""}",,
1,rayyan-671138562,Detrital nutrient content and leaf species differentially affect growth and nutritional regulation of detritivores,2018,,,Oikos,00301299 (ISSN),127,10,1471-1481,"Halvorson, H.M. and Fuller, C.L. and Entrekin, S.A. and Scott, J.T. and Evans-White, M.A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047784989&doi=10.1111%2foik.05201&partnerID=40&md5=7971767301fc44c90b119940c343a244,English,Blackwell Publishing Ltd,"[""Dept of Biological Sciences, Univ. of Southern Mississippi, 118 College Drive #5018, Hattiesburg, MS  39406, United States"", ""Arkansas Water Resources Center, Fayetteville, AR, United States"", ""Dept of Biology, Univ. of Central Arkansas, Conway, AR, United States"", ""Dept of Biology, Baylor Univ., Waco, TX, United States"", ""Dept of Biological Sciences, Univ. of Arkansas, Fayetteville, AR, United States""]","Resource nutrient content and identity are common bottom–up controls on organismal growth and nutritional regulation. One framework to study these factors, ecological stoichiometry theory, predicts that elevated resource nitrogen (N) and phosphorus (P) contents enhance organism growth by alleviating constraints on N and P acquisition. However, the regulatory mechanisms underlying this response – including whether responses depend on resource identity – remain poorly understood. In this study, we tested roles of detrital N and P contents and identity (leaf species) in constraining growth of aquatic invertebrate detritivores. We synthesized results from seven detritivore species fed wide nutrient gradients of oak and maple detritus in the laboratory. Across detritivore taxa, we used a meta-analytic approach quantifying effects of detrital leaf species and N and P contents on growth, consumption, and N- and P-specific assimilation and growth efficiencies. Detritivore growth rates increased on higher-N and P detritus and on oak compared to maple detritus. Notably, the mechanisms of improved growth differed between the responses to detrital nutrients versus leaf species, with the former driven by greater consumption rates despite lower assimilation efficiencies on higher-nutrient detritus, and the latter driven by improved N and P assimilation and N growth efficiencies on oak detritus. These findings suggest animal nutrient acquisition changes flexibly in response to resource changes, altering the fate of detrital N and P throughout regulation. We affirm resource identity and nutrients as important bottom–up controls, but suggest these factors act through separate pathways to affect organism growth and thereby change detrital ecosystems under anthropogenic forest compositional change and nutrient enrichment. © 2018 The Authors","Cited By :7     Export Date: 17 May 2021     CODEN: OIKSA     Correspondence Address: Halvorson, H.M.; Dept of Biological Sciences, 118 College Drive #5018, United States; email: halvorso@gmail.com RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} RAYYAN-INCLUSION: {""losialagisz""=>""Excluded"", ""daniel.wa.noble""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Empirical analysis,not literature based",,
,rayyan-671138563,Chicken or egg? Outcomes of experimental manipulations of maternally transmitted hormones depend on administration method – a meta-analysis,2018,,,Biological Reviews,14647931 (ISSN),93,3,1499-1517,"Podmokła, E. and Drobniak, S.M. and Rutkowska, J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044290954&doi=10.1111%2fbrv.12406&partnerID=40&md5=5976c6663bcb1c4e9adea95df01b3808,English,Blackwell Publishing Ltd,"Institute of Environmental Sciences, Jagiellonian University, Gronostajowa 7, Kraków, 30-387, Poland","Steroid hormones are important mediators of prenatal maternal effects in animals. Despite a growing number of studies involving experimental manipulation of these hormones, little is known about the impact of methodological differences among experiments on the final results expressed as offspring traits. Using a meta-analytical approach and a representative sample of experimental studies performed on birds, we tested the effect of two types of direct hormonal manipulations: manipulation of females (either by implantation of hormone pellets or injection of hormonal solutions) and manipulation of eggs by injection. In both types of manipulation we looked at the effects of two groups of hormones: corticosterone and androgens in the form of testosterone and androstenedione. We found that the average effect on offspring traits differed between the manipulation types, with a well-supported positive effect of egg manipulation and lack of a significant effect of maternal manipulation. The observed average positive effect for egg manipulation was driven mainly by androgen manipulations, while corticosterone manipulations exerted no overall effect, regardless of manipulation type. Detailed analyses revealed effects of varying size and direction depending on the specific offspring traits; e.g., egg manipulation positively affected physiology and behaviour (androgens), and negatively affected future reproduction (corticosterone). Effect size was negatively related to the dose of androgen injected into the eggs, but unrelated to timing of manipulation, offspring developmental stage at the time of measuring their traits, solvent type, the site of egg injection and maternal hormone delivery method. Despite the generally acknowledged importance of maternal hormones for offspring development in birds, the overall effect of their experimental elevation is rather weak, significantly heterogeneous and dependent on the hormone and type of manipulation. We conclude by providing general recommendations as to how hormonal manipulations should be performed in order to standardize their impact and the results achieved. We also emphasize the need for research on free-living birds with a focus on fitness-related and other long-term effects of maternal hormones. © 2018 Cambridge Philosophical Society","Cited By :12     Export Date: 17 May 2021     Correspondence Address: Podmokła, E.; Institute of Environmental Sciences, Gronostajowa 7, Poland; email: edytapodmokla@gmail.com RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""}",,
,rayyan-671138564,Meta-analysis of factors associated with omega-3 fatty acid contents of wild fish,2018,,,Reviews in Fish Biology and Fisheries,09603166 (ISSN),28,2,277-299,"Gladyshev, M.I. and Sushchik, N.N. and Tolomeev, A.P. and Dgebuadze, Y.Y.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038121217&doi=10.1007%2fs11160-017-9511-0&partnerID=40&md5=26991ca297b8f5810175ab8fba660e39,English,Springer International Publishing,"[""Institute of Biophysics of Federal Research Center “Krasnoyarsk Science Center” of Siberian Branch of Russian Academy of Sciences, Akademgorodok, Krasnoyarsk, 660036, Russian Federation"", ""Siberian Federal University, Svobodny Av. 79, Krasnoyarsk, 660041, Russian Federation"", ""A. N. Severtsov Institute of Ecology and Evolution of Russian Academy of Sciences, Leninsky Prospect, 33, Moscow, 119071, Russian Federation"", ""Lomonosov Moscow State University, Leninskiye Gory, Moscow, 119899, Russian Federation""]","Fish are recognized as the main source of physiologically important omega-3 long-chain polyunsaturated fatty acids, namely, eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA), for human nutrition. However, muscle tissue contents of these fatty acids in diverse fish species, i.e., their nutritive value for humans, varied within two orders of magnitude. We reviewed contents of EPA and DHA, measured by similar methods using an internal standard during chromatography as mg per g of wet mass in 172 fish species belonging to 16 orders, to evaluate probable variations in phylogenetic and ecological drivers. EPA + DHA content varied from 25.6 mg g−1 of wet mass (Sardinops sagax) to 0.12 mg g−1 (Gymnura spp.). Multidimensional redundancy analysis revealed that among phylogenetic, ecomorphological and abiotic environmental factors, the highest proportion of variation contribution belonged to the shared contribution of sets of phylogenetic and ecomorphological factors. Specifically, the highest values of EPA + DHA content were characteristic of fish belonging to the orders Clupeiformes or Salmoniformes, were pelagic fast swimmers, ate zooplankton and inhabited marine waters or migrated from fresh to marine waters (anadromous migrations). High EPA and DHA content in muscle tissues of the above species appeared to be a metabolic adaptation for fast continuous swimming. In contrast to common beliefs, our meta-analysis did not support the significant influence of higher trophic levels (piscivory) and cold environments (homeoviscous adaptation) on EPA and DHA content in fish. However, many causes of high and low levels of physiologically important fatty acids in certain fish species remained unexplained and require evaluation in future studies. © 2017, Springer International Publishing AG, part of Springer Nature.","Cited By :18     Export Date: 17 May 2021     Correspondence Address: Gladyshev, M.I.; Institute of Biophysics of Federal Research Center “Krasnoyarsk Science Center” of Siberian Branch of Russian Academy of Sciences, Akademgorodok, Russian Federation; email: glad@ibp.ru RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} | RAYYAN-LABELS: partial redundancy analysis",,
,rayyan-671138565,Intergenerational effects of nutrition on immunity: a systematic review and meta-analysis,2018,,,Biological Reviews,14647931 (ISSN),93,2,1108-1124,"Grueber, C.E. and Gray, L.J. and Morris, K.M. and Simpson, S.J. and Senior, A.M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035081802&doi=10.1111%2fbrv.12387&partnerID=40&md5=a1b1ecdb00abe48b54f6a334e9b8db57,English,Blackwell Publishing Ltd,"[""The University of Sydney, Faculty of Science, School of Life and Environmental SciencesNSW  2006, Australia"", ""San Diego Zoo Global, PO Box 120551, San Diego, CA  92112, United States"", ""The University of Sydney, Charles Perkins CentreNSW  2006, Australia"", ""The Roslin Institute, The University of Edinburgh, Easter Bush Campus, Midlothian, EH25 9RG, United Kingdom"", ""The University of Sydney, Faculty of Science, School of Mathematics and StatisticsNSW  2006, Australia""]","Diet and immunity are both highly complex processes through which organisms interact with their environment and adapt to variable conditions. Parents that are able to transmit information to their offspring about prevailing environmental conditions have a selective advantage by ‘priming’ the physiology of their offspring. We used a meta-analytic approach to test the effect of parental diet on offspring immune responses. Using the geometric framework for nutrition (a method for analysing diet compositions wherein food nutrient components are expressed as axes in a Cartesian coordinate space) to define dietary manipulations in terms of their energy and macronutrient compositions, we compiled the results of 226 experiments from 38 published papers on the intergenerational effects of diet on immunity, across a range of study species and immunological responses. We observed intergenerational impacts of parental nutrition on a number of offspring immunological processes, including expression of pro-inflammatory biomarkers as well as decreases in anti-inflammatory markers in response to certain parental diets. For example, across our data set as a whole (encompassing several types of dietary manipulation), dietary stress in parents was seen to significantly increase pro-inflammatory cytokine levels measured in offspring (overall d = 0.575). All studies included in our analysis were from experiments in which the offspring were raised on a normal or control diet, so our findings suggest that a nutrition-dependent immune state can be inherited, and that this immune state is maintained in the short term, despite offspring returning to an ‘optimal’ diet. We demonstrate how the geometric framework for nutrition can be used to disentangle the role that different forms of dietary manipulation can have on intergenerational immunity. For example, offspring B-cell responses were significantly decreased when parents were raised on a range of different diets. Similarly, our approach allowed us to show that a parental diet elevated in protein (regardless of energy composition and relative to a control diet) can increase expression of inflammatory markers while decreasing B-cell-associated markers. By conducting a systematic review of the literature, we have identified important gaps that impair our understanding of the intergenerational effects of diet, such as a paucity of experimental studies involving increased protein and decreased energy, and a lack of studies directed at the whole-organism consequences of these processes, such as immune resilience to infection. The results of our analyses inform our understanding of the effects of diet on physiological state across diverse biological fields, including biomedical sciences, maintenance of agricultural breed stock and conservation breeding programs, among others. © 2017 Cambridge Philosophical Society","Cited By :2     Export Date: 17 May 2021     Correspondence Address: Grueber, C.E.; The University of Sydney, Australia; email: catherine.grueber@sydney.edu.au RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""}",,
1,rayyan-671138566,Scaling of avian bipedal locomotion reveals independent effects of body mass and leg posture on gait,2018,,,Journal of Experimental Biology,00220949 (ISSN),221,10,,"Daley, M.A. and Birn-Jeffery, A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047620741&doi=10.1242%2fjeb.152538&partnerID=40&md5=2d96f9749f6b6564fb04cd441cb0f4d7,English,Company of Biologists Ltd,"[""Structure and Motion Lab, Royal Veterinary College, Hawkshead Campus, Hawkshead Lane, North Mymms, Hertfordshire  AL9 7TA, United Kingdom"", ""School of Engineering and Materials Science, Queen Mary University of London, London, E1 4NS, United Kingdom""]","Birds provide an interesting opportunity to study the relationships between body size, limb morphology and bipedal locomotor function. Birds are ecologically diverse and span a large range of body size and limb proportions, yet all use their hindlimbs for bipedal terrestrial locomotion, for at least some part of their life history. Here, we review the scaling of avian striding bipedal gaits to explore how body mass and leg morphology influence walking and running. We collate literature data from 21 species, spanning a 2500× range in body mass from painted quail to ostriches. Using dynamic similarity theory to interpret scaling trends, we find evidence for independent effects of body mass, leg length and leg posture on gait. We find no evidence for scaling of duty factor with body size, suggesting that vertical forces scale with dynamic similarity. However, at dynamically similar speeds, large birds use relatively shorter stride lengths and higher stride frequencies compared with small birds. We also find that birds with long legs for their mass, such as the white stork and red-legged seriema, use longer strides and lower swing frequencies, consistent with the influence of high limb inertia on gait. We discuss the observed scaling of avian bipedal gait in relation to mechanical demands for force, work and power relative to muscle actuator capacity, muscle activation costs related to leg cycling frequency, and considerations of stability and agility. Many opportunities remain for future work to investigate how morphology influences gait dynamics among birds specialized for different habitats and locomotor behaviors. © 2018. Published by The Company of Biologists Ltd","Cited By :11     Export Date: 17 May 2021     CODEN: JEBIA     Correspondence Address: Daley, M.A.; Structure and Motion Lab, Hawkshead Lane, United Kingdom; email: mdaley@rvc.ac.uk RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} RAYYAN-INCLUSION: {""losialagisz""=>""Excluded"", ""daniel.wa.noble""=>""Excluded""} | RAYYAN-LABELS: mechanics",,
,rayyan-671138567,A review of urban impacts on avian life-history evolution: Does city living lead to slower pace of life?,2018,,,Global Change Biology,13541013 (ISSN),24,4,1452-1469,"Sepp, T. and McGraw, K.J. and Kaasik, A. and Giraudeau, M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034769021&doi=10.1111%2fgcb.13969&partnerID=40&md5=3612884fe7ab5cab5bb112ee35cc8e52,English,Blackwell Publishing Ltd,"[""School of Life Sciences, Arizona State University, Tempe, AZ, United States"", ""Institute of Ecology and Earth Sciences, University of Tartu, Tartu, Estonia"", ""Centre for Ecology and Conservation, College of Life and Environmental Sciences, University of Exeter, Penryn, United Kingdom""]","The concept of a pace-of-life syndrome describes inter- and intraspecific variation in several life-history traits along a slow-to-fast pace-of-life continuum, with long lifespans, low reproductive and metabolic rates, and elevated somatic defences at the slow end of the continuum and the opposite traits at the fast end. Pace-of-life can vary in relation to local environmental conditions (e.g. latitude, altitude), and here we propose that this variation may also occur along an anthropogenically modified environmental gradient. Based on a body of literature supporting the idea that city birds have longer lifespans, we predict that urban birds have a slower pace-of-life compared to rural birds and thus invest more in self maintenance and less in annual reproduction. Our statistical meta-analysis of two key traits related to pace-of-life, survival and breeding investment (clutch size), indicated that urban birds generally have higher survival, but smaller clutch sizes. The latter finding (smaller clutches in urban habitats) seemed to be mainly a characteristic of smaller passerines. We also reviewed urbanization studies on other traits that can be associated with pace-of-life and are related to either reproductive investment or self-maintenance. Though sample sizes were generally too small to conduct formal meta-analyses, published literature suggests that urban birds tend to produce lower-quality sexual signals and invest more in offspring care. The latter finding is in agreement with the adult survival hypothesis, proposing that higher adult survival prospects favour investment in fewer offspring per year. According to our hypothesis, differences in age structure should arise between urban and rural populations, providing a novel alternative explanation for physiological differences and earlier breeding. We encourage more research investigating how telomere dynamics, immune defences, antioxidants and oxidative damage in different tissues vary along the urbanization gradient, and suggest that applying pace-of-life framework to studies of variation in physiological traits along the urbanization gradient might be the next direction to improve our understanding of urbanization as an evolutionary process. © 2017 John Wiley & Sons Ltd","Cited By :38     Export Date: 17 May 2021     Correspondence Address: Sepp, T.; School of Life Sciences, United States; email: tuul.sepp@gmail.com RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} RAYYAN-INCLUSION: {""losialagisz""=>""Included"", ""daniel.wa.noble""=>""Included""} | RAYYAN-LABELS: multitrait",,
