journal,year,month,volume,issue,meta_analysis,lit_review,syst_review,comp_review,phylo_review
Journal of Experimental Biology,2015,October,218,20,0,1,0,0,0
Journal of Experimental Biology,2015,November,218,21,0,0,0,0,0
Journal of Experimental Biology,2015,November,218,22,0,0,0,0,0
Journal of Experimental Biology,2015,December,218,23,0,0,0,0,0
Journal of Experimental Biology,2015,December,218,24,0,0,0,0,0
Journal of Experimental Biology,2016,January,219,1,0,0,0,0,0
Journal of Experimental Biology,2016,January,219,2,0,19,0,0,0
Journal of Experimental Biology,2016,February,219,3,0,0,0,0,0
Journal of Experimental Biology,2016,February,219,4,0,0,0,0,0
Journal of Experimental Biology,2016,March,219,5,1,0,0,1,0
Journal of Experimental Biology,2016,March,219,6,0,0,0,0,0
Journal of Experimental Biology,2016,April,219,7,0,2,0,0,0
Journal of Experimental Biology,2016,April,219,8,0,1,0,0,0
Journal of Experimental Biology,2016,May,219,9,0,1,0,0,0
Journal of Experimental Biology,2016,May,219,10,0,1,0,0,0
Journal of Experimental Biology,2016,June,219,11,0,1,0,0,0
Journal of Experimental Biology,2016,June,219,12,0,1,0,0,0
Journal of Experimental Biology,2016,July,219,13,0,1,0,0,0
Journal of Experimental Biology,2016,July,219,14,0,1,0,0,0
Journal of Experimental Biology,2016,August,219,15,0,2,0,0,0
Journal of Experimental Biology,2016,August,219,16,0,1,0,0,0
Journal of Experimental Biology,2016,September,219,17,0,2,0,0,0
Journal of Experimental Biology,2016,September,219,18,0,2,0,0,0
Journal of Experimental Biology,2016,October,219,19,0,1,0,0,0
Journal of Experimental Biology,2016,October,219,20,0,2,0,0,0
Journal of Experimental Biology,2016,November,219,21,0,0,0,0,0
Journal of Experimental Biology,2016,November,219,22,0,2,0,0,0
Journal of Experimental Biology,2016,December,219,23,0,2,0,0,0
Journal of Experimental Biology,2016,December,219,24,0,2,0,0,0
Journal of Experimental Biology,2017,January,220,1,0,12,0,0,1
Journal of Experimental Biology,2017,January,220,2,0,2,0,0,1
Journal of Experimental Biology,2017,February,220,3,0,0,0,0,0
Journal of Experimental Biology,2017,February,220,4,0,1,0,0,0
Journal of Experimental Biology,2017,March,220,5,0,1,0,0,0
Journal of Experimental Biology,2017,March,220,6,0,0,0,0,0
Journal of Experimental Biology,2017,April,220,7,0,1,0,0,0
Journal of Experimental Biology,2017,April,220,8,0,2,0,0,0
Journal of Experimental Biology,2017,May,220,9,0,0,0,0,0
Journal of Experimental Biology,2017,May,220,10,0,2,0,0,0
Journal of Experimental Biology,2017,June,220,11,0,1,0,0,0
Journal of Experimental Biology,2017,June,220,12,0,1,0,0,0
Journal of Experimental Biology,2017,July,220,13,0,2,0,0,0
Journal of Experimental Biology,2017,July,220,14,0,2,0,0,0
Journal of Experimental Biology,2017,August,220,15,0,1,0,0,0
Journal of Experimental Biology,2017,August,220,16,0,2,0,0,0
Journal of Experimental Biology,2017,September,220,17,0,1,0,0,0
Journal of Experimental Biology,2017,September,220,18,0,0,0,0,0
Journal of Experimental Biology,2017,October,220,19,0,0,0,0,0
Journal of Experimental Biology,2017,October,220,20,0,0,0,0,0
Journal of Experimental Biology,2017,November,220,21,0,2,0,0,0
Journal of Experimental Biology,2017,November,220,22,0,0,0,0,0
Journal of Experimental Biology,2017,December,220,23,0,4,0,0,0
Journal of Experimental Biology,2017,December,220,24,0,1,0,0,0
Conservation Physiology,2014,,2,1,1,6,3,0,0
Conservation Physiology,2015,,3,1,0,5,1,0,0
Conservation Physiology,2016,,4,1,1,4,0,0,0
Conservation Physiology,2017,,5,1,0,9,1,0,0
Conservation Physiology,2018,,6,1,0,3,1,0,0
Conservation Physiology,2019,,7,1,1,10,0,0,0
Conservation Physiology,2020,,8,1,1,4,0,1,1
Conservation Physiology,2021,,9,1,0,2,2,1,0
Journal of Experimental Botany,2014,January,65,1,0,2,0,0,0
Journal of Experimental Botany,2014,February,65,2,0,4,0,0,0
Journal of Experimental Botany,2014,March,65,3,0,8,0,0,0
Journal of Experimental Botany,2014,March,65,4,0,2,0,0,0
Journal of Experimental Botany,2014,March,65,5,0,11,0,0,0
Journal of Experimental Botany,2014,April,65,6,0,2,0,0,0
Journal of Experimental Botany,2014,April,65,7,0,16,0,0,0
Journal of Experimental Botany,2014,May,65,8,0,8,0,0,0
Journal of Experimental Botany,2014,June,65,9,0,1,0,0,0
Journal of Experimental Botany,2014,June,65,10,0,17,0,0,0
Journal of Experimental Botany,2014,June,65,11,0,9,0,0,0
Journal of Experimental Botany,2014,July,65,12,0,1,0,0,0
Journal of Experimental Botany,2014,July,65,13,0,11,0,2,0
Journal of Experimental Botany,2014,July,65,14,0,10,0,0,0
Journal of Experimental Botany,2014,August,65,15,0,2,0,0,0
Journal of Experimental Botany,2014,August,65,16,0,12,0,0,0
Journal of Experimental Botany,2014,September,65,17,0,2,0,0,0
Journal of Experimental Botany,2014,October,65,18,0,2,0,0,0
Journal of Experimental Botany,2014,October,65,19,0,16,0,0,0
Journal of Experimental Botany,2014,November,65,20,0,3,0,0,0
Journal of Experimental Botany,2014,November,65,21,0,5,0,0,0
Journal of Experimental Botany,2014,December,65,22,0,3,0,0,0
Journal of Experimental Botany,2015,January,66,1,0,4,0,0,0
Journal of Experimental Botany,2015,February,66,2,0,7,1,0,0
Journal of Experimental Botany,2015,February,66,3,0,2,0,0,0
Journal of Experimental Botany,2015,February,66,4,0,9,0,0,0
Journal of Experimental Botany,2015,March,66,5,0,1,0,0,0
Journal of Experimental Botany,2015,March,66,6,0,11,0,0,0
Journal of Experimental Botany,2015,April,66,7,0,4,0,0,0
Journal of Experimental Botany,2015,April,66,8,0,11,0,0,0
Journal of Experimental Botany,2015,May,66,9,0,4,0,0,0
Journal of Experimental Botany,2015,May,66,10,0,11,0,0,0
Journal of Experimental Botany,2015,June,66,11,0,1,0,0,0
Journal of Experimental Botany,2015,June,66,12,0,12,0,0,0
Journal of Experimental Botany,2015,July,66,13,0,0,0,0,0
Journal of Experimental Botany,2015,July,66,14,0,8,0,0,0
Journal of Experimental Botany,2015,August,66,15,0,0,0,0,0
Journal of Experimental Botany,2015,August,66,16,0,14,0,0,0
Journal of Experimental Botany,2015,August,66,17,0,5,0,0,0
Journal of Experimental Botany,2015,September,66,18,0,4,0,0,0
Journal of Experimental Botany,2015,September,66,19,0,3,0,0,0
Journal of Experimental Botany,2015,September,66,20,0,2,0,0,0
Journal of Experimental Botany,2015,November,66,21,0,2,0,0,0
Journal of Experimental Botany,2015,December,66,22,0,3,0,0,0
Journal of Experimental Botany,2016,January,67,1,0,3,0,0,0
Journal of Experimental Botany,2016,January,67,2,0,8,0,0,0
Journal of Experimental Botany,2016,February,67,3,0,3,0,0,0
Journal of Experimental Botany,2016,February,67,4,0,3,0,0,0
Journal of Experimental Botany,2016,March,67,5,0,2,0,0,0
Journal of Experimental Botany,2016,March,67,6,0,3,0,0,0
Journal of Experimental Botany,2016,March,67,7,0,5,0,0,0
Journal of Experimental Botany,2016,April,67,8,0,0,0,0,0
Journal of Experimental Botany,2016,April,67,9,0,3,0,0,0
Journal of Experimental Botany,2016,May,67,10,0,10,0,1,0
Journal of Experimental Botany,2016,May,67,11,0,2,0,0,0
Journal of Experimental Botany,2016,June,67,12,0,5,0,0,0
Journal of Experimental Botany,2016,June,67,13,0,7,0,0,1
Journal of Experimental Botany,2016,July,67,14,0,4,1,0,0
Journal of Experimental Botany,2016,August,67,15,0,3,0,0,0
Journal of Experimental Botany,2016,August,67,16,0,5,0,0,0
Journal of Experimental Botany,2016,September,67,17,0,2,0,0,0
Journal of Experimental Botany,2016,October,67,18,0,1,0,0,0
Journal of Experimental Botany,2016,October,67,19,0,0,0,0,0
Journal of Experimental Botany,2016,October,67,20,0,3,0,0,0
Journal of Experimental Botany,2016,November,67,21,0,1,0,0,1
Journal of Experimental Botany,2016,December,67,22,0,3,0,0,0
Journal of Experimental Botany,2017,January,68,1,0,14,0,0,0
Journal of Experimental Botany,2017,January,68,2,0,2,0,0,1
Journal of Experimental Botany,2017,January,68,3,0,2,0,0,1
Journal of Experimental Botany,2017,February,68,4,0,9,0,0,0
Journal of Experimental Botany,2017,February,68,5,0,0,0,0,0
Journal of Experimental Botany,2017,March,68,6,0,6,0,0,0
Journal of Experimental Botany,2017,March,68,7,0,1,0,0,0
Journal of Experimental Botany,2017,April,68,8,0,7,0,1,0
Journal of Experimental Botany,2017,April,68,9,0,5,0,0,0
Journal of Experimental Botany,2017,May,68,10,0,14,0,0,0
Journal of Experimental Botany,2017,May,68,11,0,3,0,0,0
Journal of Experimental Botany,2017,June,68,12,0,8,0,0,1
Journal of Experimental Botany,2017,August,68,13,0,4,0,0,0
Journal of Experimental Botany,2017,September,68,14,0,7,0,1,0
Journal of Experimental Botany,2017,September,68,15,0,5,0,0,0
Journal of Experimental Botany,2017,October,68,16,0,4,0,1,0
Journal of Experimental Botany,2017,October,68,17,0,1,0,0,0
Journal of Experimental Botany,2017,November,68,18,0,1,0,0,0
Journal of Experimental Botany,2017,November,68,19,0,9,0,2,0
Journal of Experimental Botany,2017,November,68,20,0,5,0,0,0
Journal of Experimental Botany,2017,December,68,21-22,0,4,0,1,0
Journal of Experimental Botany,2018,January,69,1,0,10,0,0,0
Journal of Experimental Botany,2018,January,69,2,0,15,0,1,0
Journal of Experimental Botany,2018,January,69,3,0,2,0,0,0
Journal of Experimental Botany,2018,February,69,4,0,10,0,0,0
Journal of Experimental Botany,2018,February,69,5,0,4,0,0,0
Journal of Experimental Botany,2018,March,69,6,0,5,0,0,0
Journal of Experimental Botany,2018,March,69,7,0,2,0,0,0
Journal of Experimental Botany,2018,April,69,8,0,2,0,0,0
Journal of Experimental Botany,2018,April,69,9,0,10,0,0,0
Journal of Experimental Botany,2018,April,69,10,0,2,0,0,0
Journal of Experimental Botany,2018,May,69,11,0,5,0,0,0
Journal of Experimental Botany,2018,May,69,12,0,0,0,0,0
Journal of Experimental Botany,2018,June,69,13,0,10,0,0,0
Journal of Experimental Botany,2018,June,69,14,0,11,0,0,0
Journal of Experimental Botany,2018,July,69,15,0,4,0,0,0
Journal of Experimental Botany,2018,July,69,16,0,1,0,0,0
Journal of Experimental Botany,2018,August,69,17,0,5,0,0,0
Journal of Experimental Botany,2018,August,69,18,0,1,0,0,0
Journal of Experimental Botany,2018,August,69,19,0,6,0,0,0
Journal of Experimental Botany,2018,September,69,20,0,2,0,0,1
Journal of Experimental Botany,2018,October,69,21,0,1,0,0,0
Journal of Experimental Botany,2018,December,69,22,0,2,0,0,0
Journal of Experimental Botany,2019,January,70,1,0,4,0,0,1
Journal of Experimental Botany,2019,January,70,2,0,4,0,0,0
Journal of Experimental Botany,2019,January,70,3,0,6,0,0,0
Journal of Experimental Botany,2019,February,70,4,0,8,0,0,0
Journal of Experimental Botany,2019,February,70,5,0,4,0,0,0
Journal of Experimental Botany,2019,March,70,6,0,4,0,1,0
Journal of Experimental Botany,2019,March,70,7,0,10,0,0,0
Journal of Experimental Botany,2019,April,70,8,0,6,0,0,0
Journal of Experimental Botany,2019,April,70,9,0,6,0,0,0
Journal of Experimental Botany,2019,May,70,10,0,2,0,0,1
Journal of Experimental Botany,2019,May,70,11,0,5,0,0,1
Journal of Experimental Botany,2019,June,70,12,0,2,0,0,0
Journal of Experimental Botany,2019,June,70,13,0,5,0,0,0
Journal of Experimental Botany,2019,July,70,14,0,14,0,0,0
Journal of Experimental Botany,2019,August,70,15,0,4,0,0,0
Journal of Experimental Botany,2019,August,70,16,0,16,0,0,0
Journal of Experimental Botany,2019,September,70,17,0,13,0,0,2
Journal of Experimental Botany,2019,September,70,18,0,5,0,0,0
Journal of Experimental Botany,2019,October,70,19,0,2,0,0,0
Journal of Experimental Botany,2019,October,70,20,0,2,0,0,0
Journal of Experimental Botany,2019,November,70,21,0,6,0,0,1
Journal of Experimental Botany,2019,November,70,22,0,4,0,0,0
Journal of Experimental Botany,2020,January,71,1,0,4,0,0,1
Journal of Experimental Botany,2020,January,71,2,0,10,0,0,0
Journal of Experimental Botany,2020,January,71,3,0,5,0,0,0
Journal of Experimental Botany,2020,February,71,4,0,3,0,0,2
Journal of Experimental Botany,2020,March,71,5,0,8,0,0,1
Journal of Experimental Botany,2020,March,71,6,0,3,0,0,0
Journal of Experimental Botany,2020,April,71,7,0,6,0,0,0
Journal of Experimental Botany,2020,April,71,8,0,6,0,0,0
Journal of Experimental Botany,2020,May,71,9,0,4,0,0,0
Journal of Experimental Botany,2020,May,71,10,0,6,0,0,0
Journal of Experimental Botany,2020,June,71,11,0,4,0,0,4
Journal of Experimental Botany,2020,June,71,12,0,1,0,0,1
Journal of Experimental Botany,2020,June,71,13,0,8,0,0,2
Journal of Experimental Botany,2020,July,71,14,0,4,0,0,0
Journal of Experimental Botany,2020,July,71,15,0,9,0,0,0
Journal of Experimental Botany,2020,August,71,16,0,2,0,1,1
Journal of Experimental Botany,2020,August,71,17,0,13,0,0,0
Journal of Experimental Botany,2020,September,71,18,0,3,0,0,0
Journal of Experimental Botany,2020,October,71,19,0,6,0,0,0
Journal of Experimental Botany,2020,October,71,20,0,4,0,0,0
Journal of Experimental Botany,2020,December,71,21,0,5,0,0,0
Journal of Experimental Botany,2020,December,71,22,0,2,0,0,0
Journal of Experimental Botany,2021,January,72,1,0,7,0,0,0
Journal of Experimental Botany,2021,February,72,2,0,6,0,1,0
Journal of Experimental Botany,2021,February,72,3,0,12,0,0,0
Journal of Experimental Botany,2021,February,72,4,0,4,0,1,0
Journal of Experimental Botany,2021,February,72,5,0,5,0,0,0
Journal of Experimental Botany,2021,March,72,6,0,11,0,1,0
Journal of Experimental Botany,2021,March,72,7,0,6,0,0,0
Journal of Experimental Botany,2021,April,72,8,0,5,0,1,0
Journal of Experimental Botany,2021,April,72,9,0,5,0,0,0
Journal of Experimental Botany,2021,May,72,10,0,1,0,0,0
Journal of Experimental Botany,2021,May,72,11,0,11,0,2,0
Journal of Experimental Botany,2021,May,72,12,1,3,0,0,0
Journal of Experimental Botany,2021,June,72,13,0,4,0,1,0
Journal of Comparative Physiology B,2014,January,184,1,0,1,0,1,0
Journal of Comparative Physiology B,2014,February,184,2,0,1,0,0,0
Journal of Comparative Physiology B,2014,April,184,3,0,1,0,0,0
Journal of Comparative Physiology B,2014,May,184,4,0,0,0,0,0
Journal of Comparative Physiology B,2014,July,184,5,0,0,0,0,1
Journal of Comparative Physiology B,2014,August,184,6,0,0,1,0,0
Journal of Comparative Physiology B,2014,October,184,7,0,0,0,0,1
Journal of Comparative Physiology B,2014,December,184,8,0,1,0,0,0
Journal of Comparative Physiology B,2015,January,185,1,0,0,0,0,1
Journal of Comparative Physiology B,2015,February,185,2,0,1,0,0,0
Journal of Comparative Physiology B,2015,April,185,3,0,0,0,1,0
Journal of Comparative Physiology B,2015,May,185,4,0,1,0,0,0
Journal of Comparative Physiology B,2015,July,185,5,0,1,0,1,0
Journal of Comparative Physiology B,2015,August,185,6,0,2,0,0,0
Journal of Comparative Physiology B,2015,October,185,7,0,1,0,0,0
Journal of Comparative Physiology B,2015,December,185,8,0,1,0,0,0
Journal of Comparative Physiology B,2016,January,186,1,0,1,0,0,1
Journal of Comparative Physiology B,2016,February,186,2,0,1,0,0,0
Journal of Comparative Physiology B,2016,April,186,3,0,1,0,0,0
Journal of Comparative Physiology B,2016,May,186,4,0,1,0,0,0
Journal of Comparative Physiology B,2016,July,186,5,0,1,0,0,0
Journal of Comparative Physiology B,2016,August,186,6,0,1,0,0,0
Journal of Comparative Physiology B,2016,October,186,7,0,0,0,1,0
Journal of Comparative Physiology B,2016,December,186,8,0,1,1,0,0
Journal of Comparative Physiology B,2017,January,187,1,0,3,0,0,0
Journal of Comparative Physiology B,2017,February,187,2,0,0,0,0,0
Journal of Comparative Physiology B,2017,April,187,3,0,1,0,0,0
Journal of Comparative Physiology B,2017,May,187,4,0,0,0,0,0
Journal of Comparative Physiology B,2017,July,187,"5,6",0,0,0,0,0
Journal of Comparative Physiology B,2017,October,187,7,0,0,0,0,0
Journal of Comparative Physiology B,2017,December,187,8,0,2,0,0,0
Journal of Comparative Physiology B,2018,January,188,1,0,2,0,0,0
Journal of Comparative Physiology B,2018,March,188,2,0,1,0,0,0
Journal of Comparative Physiology B,2018,May,188,3,0,1,0,0,0
Journal of Comparative Physiology B,2018,July,188,4,0,0,0,0,0
Journal of Comparative Physiology B,2018,September,188,5,0,0,0,0,0
Journal of Comparative Physiology B,2018,November,188,6,0,1,0,0,0
Journal of Comparative Physiology B,2019,February,189,1,0,0,0,0,0
Journal of Comparative Physiology B,2019,April,189,2,0,0,0,0,0
Journal of Comparative Physiology B,2019,August,189,"3, 4",0,0,0,0,0
Journal of Comparative Physiology B,2019,October,189,5,0,0,0,0,0
Journal of Comparative Physiology B,2019,December,189,6,0,0,0,0,0
Journal of Comparative Physiology B,2020,January,190,1,0,1,0,0,0
Journal of Comparative Physiology B,2020,March,190,2,0,0,0,0,0
Journal of Comparative Physiology B,2020,May,190,3,0,0,0,0,0
Journal of Comparative Physiology B,2020,July,190,4,0,1,0,0,0
Journal of Comparative Physiology B,2020,September,190,5,0,0,0,0,0
Journal of Comparative Physiology B,2020,November,190,6,0,0,0,0,0
Journal of Comparative Physiology B,2021,January,191,1,0,0,1,0,0
Journal of Comparative Physiology B,2021,March,191,2,0,0,0,0,0
Journal of Comparative Physiology B,2021,May,191,3,0,0,0,0,0
Journal of Comparative Physiology B,2021,July,191,4,0,0,0,0,0
Journal of Comparative Physiology A,2014,January,200,1,0,1,0,0,0
Journal of Comparative Physiology A,2014,February,200,2,0,0,0,0,0
Journal of Comparative Physiology A,2014,March,200,3,0,0,0,0,0
Journal of Comparative Physiology A,2014,April,200,4,0,1,0,0,0
Journal of Comparative Physiology A,2014,May,200,5,0,1,0,0,0
Journal of Comparative Physiology A,2014,June,200,6,0,6,0,0,0
Journal of Comparative Physiology A,2014,July,200,7,0,0,0,0,0
Journal of Comparative Physiology A,2014,August,200,8,0,1,0,0,0
Journal of Comparative Physiology A,2014,September,200,9,0,1,0,0,0
Journal of Comparative Physiology A,2014,October,200,10,0,0,0,0,0
Journal of Comparative Physiology A,2014,November,200,11,0,1,0,0,0
Journal of Comparative Physiology A,2014,December,200,12,0,0,0,0,0
Journal of Comparative Physiology A,2015,January,201,1,0,11,0,0,0
Journal of Comparative Physiology A,2015,February,201,2,0,2,0,0,0
Journal of Comparative Physiology A,2015,March,201,3,0,1,0,0,0
Journal of Comparative Physiology A,2015,April,201,4,0,0,0,0,0
Journal of Comparative Physiology A,2015,May,201,5,0,0,0,0,0
Journal of Comparative Physiology A,2015,June,201,6,0,2,0,0,0
Journal of Comparative Physiology A,2015,July,201,7,0,0,0,0,0
Journal of Comparative Physiology A,2015,August,201,8,0,0,0,0,0
Journal of Comparative Physiology A,2015,September,201,9,0,12,0,0,0
Journal of Comparative Physiology A,2015,October,201,10,0,2,0,0,0
Journal of Comparative Physiology A,2015,November,201,11,0,0,0,0,0
Journal of Comparative Physiology A,2015,December,201,12,0,0,0,0,0
Journal of Comparative Physiology A,2016,January,202,1,0,0,0,0,0
Journal of Comparative Physiology A,2016,February,202,2,0,0,0,0,0
Journal of Comparative Physiology A,2016,March,202,3,0,0,0,0,0
Journal of Comparative Physiology A,2016,April,202,4,0,1,0,0,0
Journal of Comparative Physiology A,2016,May,202,5,0,0,0,0,0
Journal of Comparative Physiology A,2016,June,202,6,0,0,0,0,0
Journal of Comparative Physiology A,2016,July,202,7,0,1,0,0,0
Journal of Comparative Physiology A,2016,August,202,8,0,1,0,0,0
Journal of Comparative Physiology A,2016,October,202,"9,10",0,0,0,0,0
Journal of Comparative Physiology A,2016,November,202,11,0,0,0,0,0
Journal of Comparative Physiology A,2016,December,202,12,0,0,0,0,0
